training_step,train_loss,train_acc,val_loss,val_acc,llc
12800,0.0016306700394965728,1.0,0.012075949228265956,0.0005931198102016608,32107.0703125
25600,0.0011943494202361798,1.0,0.011579524087117519,0.0,31971.177734375
38400,0.0008829215034873175,1.0,0.011127664420912805,0.0005931198102016608,31845.8046875
51200,0.0006521300280334815,1.0,0.010710052596261527,0.0005931198102016608,31754.5546875
64000,0.0004962958252527655,1.0,0.010283274656163875,0.0035587188612099642,31707.94921875
76800,0.00039845287829068615,1.0,0.009785320408739511,0.01542111506524318,31611.79296875
89600,0.00035257687689968693,1.0,0.009110937622781238,0.13997627520759193,31633.4765625
102400,0.00034373856789949957,1.0,0.00813233315826461,0.6625148279952551,31523.02734375
115200,0.00041840653033066254,1.0,0.006785622913631238,0.9810201660735468,31485.615234375
128000,0.0006845828368310267,1.0,0.005261938426392827,1.0,31495.2421875
140800,0.0012909881889825075,1.0,0.004093538596480422,1.0,31445.482421875
153600,0.0022726228731441396,1.0,0.0037347324107456534,1.0,31335.796875
166400,0.003513267916856949,1.0,0.004188652090675254,1.0,31381.201171875
179200,0.004813800055039375,1.0,0.005100199514127216,1.0,31326.638671875
192000,0.0060143364715296195,1.0,0.006133262003404072,1.0,31317.47265625
204800,0.007046375526919736,1.0,0.007097142640819435,1.0,31268.05078125
217600,0.007915797498647724,1.0,0.007941115251769923,1.0,31180.732421875
230400,0.008647870028578907,1.0,0.008659029000550331,1.0,31164.6015625
243200,0.009265360126366386,1.0,0.009271684910854588,1.0,31216.82421875
