training_step,train_loss,train_acc,val_loss,val_acc,llc
12800,0.0030646922235470016,0.9991095280498664,0.01123440962490291,0.0,890.784423828125
25600,0.0011230345836878719,1.0,0.011825605308855769,0.011862396204033215,984.17333984375
38400,0.00106732815608568,1.0,0.011748702547591387,0.012455516014234875,977.24462890625
51200,0.0010144914549034011,1.0,0.011615954971986062,0.012455516014234875,976.2907104492188
64000,0.0009593732328712276,1.0,0.011465928449338548,0.012455516014234875,974.7794799804688
76800,0.0009142369800993637,1.0,0.011312516436283504,0.014234875444839857,963.1083374023438
89600,0.0008665041273724344,1.0,0.011143231492385728,0.018386714116251483,956.7611083984375
102400,0.0008309137041204488,1.0,0.010970166243318896,0.028469750889679714,952.9608154296875
115200,0.0008044652573437574,1.0,0.010789658861844619,0.033807829181494664,945.6083984375
128000,0.0007820607123412159,1.0,0.01059190503350312,0.04744958481613286,928.2799682617188
140800,0.0007705908623844956,1.0,0.010382789340696584,0.060498220640569395,925.4239501953125
153600,0.0007692830290754001,1.0,0.010151725880523274,0.08066429418742586,922.1217651367188
166400,0.0007715850976442558,1.0,0.009890014564503571,0.1132858837485172,916.5946655273438
179200,0.0007821599619491283,1.0,0.0095962305243369,0.17141162514827996,911.8214721679688
192000,0.0007985075668785108,1.0,0.00925417831703393,0.269276393831554,911.1464233398438
204800,0.000827443454083294,1.0,0.00886772547943533,0.3902728351126928,900.138427734375
217600,0.0008721794626337185,1.0,0.008422225394450826,0.5836298932384342,898.6307983398438
230400,0.0009229392535716646,1.0,0.007906917204488233,0.7805456702253856,886.47900390625
243200,0.0009972586687106908,1.0,0.0073276389981835445,0.930011862396204,887.2666015625
256000,0.0011001608662269114,1.0,0.006697071958410588,0.994661921708185,885.87646484375
268800,0.001248877858249628,1.0,0.0060485581010370154,1.0,869.0651245117188
281600,0.0014660416999442017,1.0,0.005429313481787566,1.0,865.9959716796875
294400,0.0017741288911411913,1.0,0.004910599471960319,1.0,848.3193359375
307200,0.0021993859713766075,1.0,0.004570801771513252,1.0,848.3473510742188
320000,0.0027586646931194504,1.0,0.0044697329108100625,1.0,831.7948608398438
332800,0.0034642935840816023,1.0,0.004641696153935553,1.0,824.84716796875
345600,0.0042907740395824664,1.0,0.005065892236682886,1.0,815.7296752929688
358400,0.005226331248793184,1.0,0.005712913476871956,1.0,806.2223510742188
371200,0.00619463545277728,1.0,0.0064892022766080085,1.0,795.690673828125
